Group,Name,Basic relationship,Presetted values
,,"(d*[T])/(dt) = (d*[T])/(ds)*(ds)/(dt) = v*(d*[T])/(ds) = v\k*[N]
-> [N]=[B]*[T] = 1/(v\k)*(d*[T])/(dt) = \r/v*(d*[T])/(dt) = ((d*[T])/(dt))/|(d*[T])/(dt)|",
,,"(d*[a])/(dt) = d/(dt)((dv)/(dt)[T] + v^2\k*[N]) = [several terms] = \l*[T] + \m*[N] + v^3\k\t*[B] (\l and \m some constant)
([v]*[a]).(d*[a])/(dt) = (v^3\k)^2\t = |[v]*[a]|^2\t
-> \t = ([v]*[a]).((d*[a])/(dt))/|[v]*[a]|^2",
,Evolutes,[r_c](t) = [r](t) + \r(t)[N](t),
,Kepler laws and planetary motions,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Multivariable function,,"$math{f(x, y) = xy + 1, \\R^2 -> \\R}",
,Multivariable limits,"$math{\lim{(x, y)->(a, b), f(x)}}",
,,"$math{\lim{(x, y)->(a, b), f(x)} = L}

Every neighbourhood of (a, b) contains points of the domain of f different from a and b
$math{\e > 0 -> (\d=\d(\e) > 0)}, $math{|f(x, y)-L|<\e -> (0 < \sqrt{(x-a)^2+(y-b)^2} < \d)}",
,,"$math{\lim{(x, y)->(a, b), f(x, y) \pm g(x, y)} = \lim{(x, y)->(a, b), f(x, y)} \pm \lim{(x, y)->(a, b), g(x, y)}}",
,,"$math{\lim{(x, y)->(a, b), f(x, y) * g(x, y)} = \lim{(x, y)->(a, b), f(x, y)} * \lim{(x, y)->(a, b), g(x, y)}}",
,,"$math{\lim{(x, y)->(a, b), f(x, y) / g(x, y)} = \lim{(x, y)->(a, b), f(x, y)} / \lim{(x, y)->(a, b), g(x, y)}}",
,,"$math{\lim{(x, y)->(a, b), f(x, y)} = L -> \lim{(x, y)->(a, b), F(f(x, y))} = F(L)}",
