Group,Name,Basic relationship,Presetted values
,,AB/(AC) = B/C,"AB=x^2-12x+36, AC=x^2-36 A=x-6 B=x-6 C=x+6
AB=6x, AC=4x^2+2x, A=2x, B=3, C=2x+1
AB=x^2-4, AC=x^2-4x+4, A=x-2, B=x+2, C=x-2
AB=5x^4-20x^2, AC=x^2-2x, A=x(x-2), B=5x(x+2), C=1"
,,"AB/(CD) = -CB/(CD) = -B/D, (A=-C)","AB = 9-a^2, 3+a, 3-a, a-3, 1"
,,x/(y/z) = x/y*z,"x=70, y=3x+3, z=21x"
,Fractional equations,"A/B=C/D => AD=BC (B!=0, D!=0)",A=x+1 B=x-1 C=9 D=1
,,"({k=0, n, B[k]R[k]=S}) +{k=0, n, A[k]/B[k]} = C/D => +{k=0, n, A[k]R[k]/(B[k]R[k]))}= (CS)/(DS) => +{k=0, n, A[k]R[k]}=CS","A=[1, -1], B=[x-1, x+3], (R=[3(x+3), 3(x-1)], S=(x-1)(x+3)), C=4, D=3
A=[1, 2], B=[sqrt(4-x), x], (R=[x, sqrt(4-x)], S=x*sqrt(4-x), C=0, D=0
A=[1, x], B=[x, 2], (R=[2, x], S=2), C=9, D=x -> x=\pm4
A=[3, x], B=[x, 2], (R=[2, x], S=x), C=9x, D=2"
,Radical equations,"k*sqrt(A(x))=B(x) => k^2*A(x)=B^2(x)
(Invalid roots are dropped after verification)","1 5-x, 3 => x=-4
1 1-x, -x => (x=(-1+sqrt(5))/2), x=(-1+sqrt(5))/2
1 x+2, x+22"
,,A(x)+k*sqrt(B(x))=C(x) => k*sqrt(B(x))=C(x)-A(x),"x 1 x 2, 2 1 x-3 0, 2 1 x-1 1-x, x-2 -1 3x-2 0, x+(x+5) 1 x^2+(x+5)^2 60"
,,"A(x)+{k=0, n, r[k]*sqrt(B[x](x))}=C(x)+{k=0, n, r[k]*sqrt(D[x](x))} ) => ","0 [1, -1] [7-x, x+13] 2 [] []
0 [1, 1] [x, x+15] 0 [1] [5x+20]"
,Logarithmetic equations,a^b(x)=c => ln(a^b(x)) = ln(c) => b(x)*ln(a) = ln(c) => b(x)=ln(c)/ln(a),"a=10, b=x, c=210"
,,ln(A) = ln(B) => A = B,
,,"ln(*{k=0, len(A), A[k](x))=ln(*{k=0, len(B), B[k](x)}) => +{k=0, len(A), ln(A[k](x))} = +{k=0, len(B), ln(B[k](x))}","A=[13, e^x], B=[2, 3^(-x)]"
,,,(e^x+e^(-x))/2=3 -> e^(2x)-6e^x+1=0
,,,5^(2x-1)+5^(x+1)=250 => 5^(-1)*(5^x)^2+5^1*5^x=250
,,"+{k=0, n, A[k](x)*ln(B[k](x))dx}+C(x)=+{k=0, n, D[k](x)*ln(E[k](x))dx}+F(x) => *{k=0, n, B[k](x)^A[k](x)}*e^C(x)= *{k=0, n, E[k](x)^D[k](x)}*e^F(x)
(May cause false roots)","A=[3, 4], B=[x, y], C=-1, D=[2], E=[z], F=0
A=[1], B=[2x+5], C=0, D=[1, 1], E=[24, 3], F=0 (lg)"
,,,4ln(x)=-3+ln(2x)=>4ln(x)=-3+ln(2)+ln(x)
,,,
,,,
,Inequalities,"a<=x<=b -> x in [a, b]
a < x < b -> x in (a, b)
-3(x+1)<-9 x+1>3 x>-4

\\Ax -> x<3 -!-> x^2<3x or x^2<3x -> x<3
Cannot multiply or divide an inequality with an arbitrary variable!!!",
,,"*{k=0, n, A[k](x)}>0 => Sign table for roots of A[k](x)","[x, x-5] >, [x+2, x+3} >=, F[x^2+4x] -> [x, x+4] <
[x-1, (x-2)^2, (x-3)^2] > -> x>1, x!=2, x!=3"
,,"*{k=0, n, A[k](x)}/B(x)>0, *{k=0, n, A[k](x)}/B(x)<0 => B(x)=0 as undefined",
,,A(x) > B(x) => A(x) - B(x) > 0 => F[A(x)-B(x)] > 0,x^2+4x 7
,,+{A[k](x)/B[k](x)}+C(x)>+{D[k](x)/E[k](x)}+F(x) => +{A[k](x)/B[k](x)}+{D[k](x)/E[k](x)}+C(x)-F(x) > 0 => …,"[x-1] [x-5] 0 0 0 2 >, [2, 1] [x-4, x-1] 0 0 0 0 >, [4] [x+3] 0 [3] [x+4] 0 <, [x] [x+1] 0 [2x-1] [x-1] 0 =, [x^2+4x+1] [x-1] 0 [3x+1] [x-1] 0"
,Factor out x,x^3+2x^2+3x=0 -> x(x^2+2x+3)=0,
,Value substitution,"f(g(x))=0 => (t = g(x)) => f(t)=0 => t, g(x)=t","f(g(x))=x^4-3x^2-4, f(t)=t^2-3t-4, g(x)=x^2
f(g(x))=x^4-13x²+36, f(t)=t^2-13t+36, g(x)=x^2"
,Completing the square,x^2+ax[+(1/2*a)^2-(1/2*2)^2]+b=(x+1/2*a)^2+b-(1/2*a)^2,
,"Partial fraction decomposition (PFD(a, b))","1. Perform polynomial division if the degree of the numerator is higher than that of the denominator.
2. Factorize (N(x)) into irreducible factors.
3. Set up a partial fraction decomposition with unknown coefficients.
4. Put everything over a common denominator and identify the coefficients.
5. Verify (check the result).",
,,(ax+b)/cx=a/c+b/(cx),"a=1, b=2, c=1"
,,ax/(bx+c)=1-((b-a)x-c)/(bx+c),"a=1, b=1, c=2"
,,"Reducable simple:
+{k=0, n, a[k]*x^k}/(*{k=0, n, x-b[k]})=+{k=0, n, A[k]/(x-b[k])}=+{k=0, n, A[k](*{l=0, n, l!=k, x-b[l]})}/(*{k=0, n, x-b[k]}) => +{k=0, n, A[k](*{l=0, n, l!=k, x-b[l]})} = +{k=0, n, a[k]x^k} => {k=0, n, A[k])
Heaviside's cover-up method:
{i=0, n, A[i] = +{k=0, n, a[k]*(b[i])^k}/(*{k=0, n, x-b[!k]})}","a=[-23, 7], b=[5, 2] => A=[4, 3]"
,,"Non-reducables:
(x-a)^n -> +{k=1, n, A_k/(x-a)^k}
(x^2+ax+b)^m -> +{k=1, m, (B_k+C_k)/(x^2+ax+b)^k}",(x^7+2)/(x-4)^4(x^2-2x+5)^2=A/(x-4)+B(x-4)^2+C/(x-4)^3+D/(x-4)^4+(Ex+F)/(x^2-2x+5)+(Gx+H)/(x^2-2x+5)^2
,,"Multiple reducables: 
Heaviside's cover-up method with derivatives: ",
,,,
,,,
,,,
,,,
,,,
Different methods,"Bisection method, Bisektionsmetoden, Intervallhalvering","Continous function f(x) in interval [a, b], f(a)*f(b)<0
Midpoint c=(a+b)/2
f(c)*f(b)<0 -> interval [c, b]
f(c)*f(a)<0 -> interval [a, c]
f(c)=0 -> x=c",
,,,
,,,
Problems,Common numbers,"The sum of two numbers (x, y) is three times their difference and twice their ratio

f(x,y) = g(x,y), f(x,y) = g(x,y)

x + y = 3(x - y) (difference)
x + y = 2(x/y) (ratio)

Solve simultaneous equations
x = 8/3, y = 4/3",
,Collision,"Plane I: 600 km/hr
Plane II: 400 km/hr
Distance apart: 50 km
Time to collision: t

Dist. covered by I + Dist. covered by II = Total Dist.
600t + 400t = 50 km
t = 50 / 1000 = 0.05 hr",
,Chase,"Car I: 30 km/hr
Car II: 70 km/hr
Distance apart: 30 km
Time to catch up: t

Time travelled by I = Time travelled by II

x km / 30 km/hr = (x + 30) km / 70 km/hr

70x = 30(x + 30) -> x = 22.5

t = 22.5 / 30 = 0.75 hr",
,Investment,"Amount x to be invested at 5% which yields $1000 more than same investment at 3%

f(x) = g(x)
Return at 5% = Return at 3% + 1000
0.05x = 0.03x + 1000
x = $50,000",
,Blending,"Mix x liters of wine (12% alc.) with y liters of rum (40% alc.) to obtain 20 liters of punch (18% alc.)

f(x) + g(y) = Given Total I
f(x) + g(y) = Given Total II

Alcohol:
0.12x + 0.40y = 0.18 * 20

Volume:
x + y = 20

Solve simultaneous equations
x = 16.7 L, y = 4.3 L",
,Intake,"Cereal I: 5.5 mg vit./g
Cereal II: 8.0 mg vit./g
Desired intake: 7.0 mg vit./g mix
Cereal I required: x

f(x) + g(x) = Given Total
Intake from I + Intake from II = Total intake from mixture

5.5x + 8(1 - x) = 7

Cereal I = x = 1/2.5 = 0.4 g
Cereal II = 1 - x = 0.6 g",
,Market,"Merchandise

5 items A + 8 items B = $115
3 items A + 5 items B = $70

f(x,y) = Total I
g(x,y) = Total II

5x + 8y = 115
3x + 5y = 70

Solve simultaneously
x = $15, y = $5",
,Geometry,"Perimeter of rectangle: 60 m
Area of rectangle: 216 m^2
x, y: sides of rectangle

f(x,y) = Total I
g(x,y) = Total II

2x + 2y = 60
x*y = 216

Solve simultaneously
x = 12 m, y = 18 m",
,Conversion,"F = aC + b

Boiling point: (x_1, y_1) = (100, 212)
Freezing point: (x_2, y_2) = (0, 32)

f(x_1, y_1) = 0, f(x_2, y_2) = 0

212 = a(100) + b
32 = a(0) + b

Solve simultaneously
a = 9/5, b = 32",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Interest calculation,SIMPLE INTEREST,"P = principal
I = accumulated interest
A = principal + interest
R = interest rate per year
N = number of years

I = P * R * N
A = P(1 + R*N)","Interest to be paid on $4,000 borrowed at 10% for 5 years
I = PRN = 4000 * 0.10 * 5 = $2,000
Principal to be invested at 7% that will yield $10,000 in 5 years
P = 10000 / (1 + RN) = 10000 / (1 + 0.075) = $7,407.41"
,COMPOUND INTEREST,"P = principal
I = compound interest
A = compound amount
R = interest rate per period
N = number of interest periods

I = A - P
A = P(1 + i)^N","Compound amount A received and compound interest I earned on principal of $5,000 compounded semi-annually at 5% over 2 years

i = 0.05 / 2 = 0.025
N = 4
P = $5,000

A = P(1 + i)^N = 5000 * (1 + 0.025)^4 = $5,519.06
I = A - P = 5519.06 - 5000 = $519.06"
