Group,Name,Basic relationship,Presetted values
,REGULAR POLYGONS - TABLE,$math{n=3}\nPolygon=Triangle\n$math{r=0.2887a}\n$math{R=0.5774a}\n$math{Area=0.4330a^2}\n\n$math{n=4}\nPolygon=Square\n$math{r=0.5000a}\n$math{R=0.7071a}\n$math{Area=1.0000a^2}\n\n$math{n=5}\nPolygon=Pentagon\n$math{r=0.6882a}\n$math{R=0.8506a}\n$math{Area=1.7205a^2}\n\n$math{n=6}\nPolygon=Hexagon\n$math{r=0.8660a}\n$math{R=1.0000a}\n$math{Area=2.5981a^2}\n\n$math{n=7}\nPolygon=Heptagon\n$math{r=1.0383a}\n$math{R=1.1524a}\n$math{Area=3.6339a^2}\n\n$math{n=8}\nPolygon=Octagon\n$math{r=1.2071a}\n$math{R=1.3066a}\n$math{Area=4.8284a^2}\n\n$math{n=9}\nPolygon=Nonagon\n$math{r=1.3737a}\n$math{R=1.4619a}\n$math{Area=6.1818a^2}\n\n$math{n=10}\nPolygon=Decagon\n$math{r=1.5388a}\n$math{R=1.6180a}\n$math{Area=7.6942a^2},
,,,
,,,
,,,
,,,
,,,
,Circles,"A circle has the same distance from origin to circle curve
Tangent
Secant/Sekant
Radius/Radie
Diameter
Chord/Koorda

Circle arc/Cirkelbåge
Periphery/Periferi
Circle sector/Cirkelsektor
Circle segment/Cirkelsegment",
,CIRCLES & CONICS - CIRCLES,"Note:\nC=circumference\ns=arc length\n\nDiameter:\n$math{D=2R}\n\nCircumference:\n$math{2\pi R=\pi D}\n\nArea:\n$math{\pi R^2=(1/4)\pi D^2}\n\nSector & Segment of Circle:\n$math{\t=2cos^-1(b/R)-2sin^-1(a/(2R))}\n\n$math{s=R\t}\n\n$math{h=R-b}\n\n$math{a=2Rsin(\t/2)=2btan(\t/2)}\n\n$math{b=R*cos(\t/2)=(1/2)*sqrt(4R^2-a^2)}\n\n$math{Area(sector)=(1/2)Rs=(1/2)R^2\t}\n\n$math{Area(segment)=(1/2)R^2(\t-sin(\t))}\n\nGeometry:\nSystem(2,Euclidean)\nPoint(O,A,B,C)\nCircle((A,B,C),O,R)\nArc(A,B,O)=s\nSegment(A,B)=a\nSegment(O,C)=R\nSegment(C,D)=h\nAngle(A,O,B)=\t",
,CIRCLES & CONICS - PARABOLAS (SEGMENT),"Arc Length:\n$math{(1/2)*sqrt(b^2+16a^2)+(b^2/(8a))*ln((4a+sqrt(b^2+16a^2))/b)}\n\nArea:\n$math{(2/3)ab}\n\nGeometry:\nSystem(2,Euclidean)\nPoint(A,B,C,D)\nSegment(A,C)=b\nSegment(D,B)=a\nPerpendicular(Line(D,B),Line(A,C))\nMidpoint(D,Segment(A,C))\nGraph(y=ax^2)\n\nParabolic segment bounded by parabola and Segment(A,C)",
,CIRCLES & CONICS - ELLIPSES,"Diameter:\n$math{2a}=major axis\n$math{2b}=minor axis\n\nArea:\n$math{\pi ab}\n\nPerimeter:\n$math{k=sqrt(a^2-b^2)/a}\n\n$math{P=4bint{0,\pi/2,sqrt(1-k^2sin(\t)^2)d\t}}\n\n$math{P~=2\pisqrt((1/2)(a^2+b^2))}\n\nGeometry:\nSystem(2,Euclidean)\nPoint(O,A,B,C)\nEllipse((A,B,C),O,a,b)\nSegment(vertical_major_axis)=2a\nSegment(horizontal_minor_axis)=2b",
,,,
,,,
,,,
,,,
,,,
,,"{$A, 3RH(A x(D), C _(F), B 20(E)), C(O, 6, (EDF))}
-> $A, 3RH(A x(14[D]x-14), C x-8(x-14[F]6), B 20(6[E]14)), C(O, 6, (EDF))",
