Name,Basic relationship,Presetted values
Areas,"A = \int{a, b, f(x)} (if above x-axis)
A = -\int{a, b, f(x)} (if below x-axis)",
Area between two curves,"A = \int{a, b}(f(x)-g(x)) (f is above g)",
Definite integral,"\int{a, b, f(x)dx} = {[F(x)], a, b} = F(b)-F(a)
Integral as the area under the curve. Curve above x-axis has positive integral while curve below x-axis has negative integral",
Integral of stepcase function,"D_s = [a, b] -> a=x_0 < x_1 < … < x_(k-1) < x_k < ... < x_n
s(x) = h_k (x_(k-1) <= x < x_k, k=1..n)
\int{a, b, s(x)dx} = \S{k=1, n, h_k(x_k-x_k-1)}",
Addition,"\int{a, b, (s(x)+t(x))dx} = (s(x) = h_k , t(x) = l_k (x_(k-1) <= x < x_k, k=0..n), \S{k=1, n, h_k(x_k-x_(k-1))} + \S{k=1, n, l_k(x_k-x_(k-1))}) = \int{a, b, s(x)dx} + \int{a, b, t(x)dx}",
Constant multiplication,"\int{a, b, k*s(x)dx} = (\S{k=0, n, k*h_k}) = k\int{a, b, s(x)dx}",
Interval linking,"\int{a, c, s(x)dx} + \int{c, b, s(x)dx} = (a=x_0 < x1 < … < x_(m-1) <= c < x_m < … < x_n, \S{k=1, m-1, h_k(x_k-x_(k-1)} + h_m(c-x_(m-1)) + h_m(x_m-c) + \S{k=m+1, n, (x_k-x_(k-1))} = \S{k=1, n, h_k(x_k-x_(k-1))}) = \int{a, b, s(x)dx} (a <= c <= b)",
Integral comparasion,"s(x) <= t(x), a<=x<=b -> \int{a, b, s(x)dx} <= \int{a, b, t(x)dx}",
Riemann-integral/Riemann-integrable,"int{a, b, f(x)dx} -> \int{a, b, l(x)dx} <= I <= \int{a, b, u(x)dx} -> I_l = I_u = I
(Arbitrary u(x) to f(x), \int{a, b, l(x)dx} <= \int{a, b, u(x)dx} for any l(x)) -> SET(l(x)) Upper bound, minimum majorant I_u, SET(u(x)) largest minorant I_u -> I_l = I_u = I",
,"f(x) Riemann-integrable [a, b] -> \int{a, b, u(x)dx} - \int{a, b, l(x)dx} < \e (\e >0)
(f not Riemann-integrable) -> \int{a, b, l(x)dx} <= I_1 < I_2 <= \int{a, b, u(x)dx} -> \int{a, b, u(x)dx} - \int{a, b, l(x)dx} >= I_2 - \int{a, b, u(x)dx} >= I_2 - I_1 > 0 -> (I_2-I_1 not arbitrary small)",
,"f continous [a, b] -> f integrable in [a, b]
<Proof missing>",
