Group,Name,Basic relationship,Presetted values
,Kritiska punkter/Critical points,"If f is defined on an open interval (a, b) and assumes its maximum (or minimum) at a point c in (a, b) and f ′(c) exists, then f ′(c) = 0.
f' = 0 are called critical or stationary points (kritiska eller stationära punkter).

f'(x) > 0: Increasing
f'(x) < 0: Decreasing
f'(x) = 0: Extreme point(Maximum/Minimum) or terrace point:
1. Detect using second derivative
  1. f''(x) > 0: Minimum point
  2. f''(x) < 0: Maximum point
  3. f''(x) = 0: Terrace point
2. Detect using sign table
f''(x) = 0: Inflection point (either increasing or decreasing, check first derivative)
f''(x) > 0: Convex
f''(x) < 0: Concave

The Extreme Value Theorem [a, b], c in [a, b] -> (h>0 -> (f(c+h)-f(c))/h<=0), (h<0 -> (f(c+h)-f(c))/h>=0)
$math{f'(c)=f_+'(c)=f_-'(c) or (lim{h->0+, (f(c+h)-f(c))/h}<=0) = (lim{h->0-, (f(c+h)-f(c))/h}>=0) -> Only possibility f'(c)=0}",
,,"Singular points/Singulära punkter: Undefined derivative
Endpoints/Randpunkter: a and b in [a, b], lim{a+} and lim{b-} in (a, b)",
,,"$math{f(x)=..., f'(x)=..., f''(x)=…}
$math{f'(x) = 0 => {k=0, n, x[k]}, {k=0, n, f''(x[k])=…, f(x[k])=… (local min/max/terass)}}","$math{f=x^3-3x, f=arctan(1/x)+arctan(x): x!=0}"
,,"$math{f(x)=..., f'(x)=..., f''(x)=…}
$math{f'(x_1) = 0 => {k=0, n, x_1[k]}, {k=0, n, f'(x[k])=… (+Adjacency)} -> sign table}","$math{f=x^2e^x, f=x^3/(x^""-1)}"
,,"$math{f(x)=..., f'(x)=..., f''(x)=…}
$math{f'(x_1) = 0 => {k=0, n, x_1[k]}, {k=0, n, f(x[k])=… (+Adjacency)} -> sign table}",$math{f=1/9*x^3/(x+2)}
,,"$math{+ Assymptotes:}
$math{Vertical assymptotes (out of domain): {k=0, n, {lim x->A[k], f(x)}, {lim x->A[k]+, f(x)}, {lim x->A[k]-, f(x)}}}
$math{Horizontal assymptotes: {lim x->\inf, f(x)}, {lim x->-\inf, f(x)}}
$math{Oblique assymptotes: {lim x->A[k], f(x)}=g(x), (k={lim x->A[k], f(x)/x}, b={lim x->A[k], f(x)-kx}, -> y=kx+b)}","$math{f=2x+1/x, f=1-x-1/x^2, f=(-x^3+x^2-1)/x^2, f=arctan(x^2/(x-1)), f=ln(x)/(x-2), f=2x/(sqrt(1+x^2))-arctan(x), f=sin(3x)/(1+1/2*cos(3x))}"
,,"-> min/max
$math{I=[a, b] -> {k=0, n, x[k] in I, f(x[k])}, f(a), f(b)}","$math{(f=xe^(-x), I=[0, 2]), (f=x/ln(x), I={x: x>0, x!=1})}"
,,"-> min/max
$math{{k=0, n, x[k] in I, f(x[k])}, lim{x->\inf, f(x)}, lim{x->-\inf, f(x)}, (Out of domain: {k=0, n, lim{x->a[k], f(x)}})}","$math{f=x^2*e^(x^2/2-3x+1), f=(x+2)/(x^2+1)+2arctan(x), f=x^4*e^(-x)}"
,,Piecewise defined function,"$math{f={x^2+3x: 0<=x<1, 4e^(2-2x): 1<=x<=3}}"
,,f -> sign table (+ min/max) -> check roots,"$math{f=x^3+6x^2+9x+3, f=e^(2x)-e^x, f=1/x+2ln(x+1)}"
,,f -> sign table (+ min/max) -> check above/below 0,"$math{ln(1+4x)>arctan(3x):x>0, ln(1+x)>x-1/2x^2: x>+, ln(x)<=sqrt(x)-1/sqrt(x): x>=1}"
,,,
,Optimization/Optimering,,
,,$math{Cost: f=86*300/x+(2+x^2/300)*300/x*6},
,,"$math{{$A, 3(A ((24, (24-x)+E+x), D, 16), B, C), L(C, D, 4), L(C, E, sqrt(4^2+x^2))}, f(x)=2((24-x)+sqrt(x^2+4^2))+(sqrt(x^2+4^2)+(16+x))}
$math{{$A, 3(A (2), B (6-x), C (sqrt(2^2+(6-x)^2))), L(B, C, D, 6), L(C, D, x)}, t(x)=x/10+sqrt((6-x^2)+2^2)}",
,,$math{d=sqrt((x-x_0)^2+(f(x)-y_0)^2)},"$math{(f=1-x^2, x_0=0, y_0=0), (x^2/9+y^2/4=1, x_0=1, y_0=0), (x^2-y^2=1: x>=0, x_0=0, y_0=1)}"
,,"$math{f(x)=f(a)+f'(a)(x-a)=f'(a)*x+f(a)-f'(a)a}
$math{A=(f(a)-f'(a)a)*((-f(a)+f'(a)a)/f'(a))/2, A=(Normal line)…}","$math{f=e^-x, f=x/(1+x): x>=0}"
,Shape optimizations,"$math{{$A, C((A, B, C), O, r), 3(A (l_0), B (2r*cos(\a), C (l_0)), 3(O (l_1), B, C (l_1))} -> A=(2rcos(\a))(rsin(\a)+r)/2 -'> \a=\pi/6}
$math{{$A, O((A, B, C, D), O)4R(A (2r*cos(\a)), B (2r*sin(\a)), C, D)} -> A=(2r*cos(\a))*(2r*sin(\a)) -'> \a=\pi/4}",
,Build optimizations,"$math{V=\pi*r^2*h -> A=\pi*r^2+2\pi*r^2*h = \pi*r^2+2\pi*r^2*V/(\pi*r^2)}
$math{{$A, 4(A (2rsin(\a/2)), B (r), C, D), 3(C, B (r), A(\a) (r))} -> A=(r*r*sin(\a)/2)+(2r*sin(\a/2)*r)}
$math{{$A, O((A, B, C, D), O)4R(A (2r*cos(\a)), B (2r*sin(\a)), C, D)} -> W=xy^2/6=(2r*cos(\a))*(2r*sin(\a))^2/6}",
,,,
,,,
,,,
,L'hopital rule,"$math{lim{x->a, f(x)/g(x)} = lim{x->a, f'(a)/g'(a)}, in ""0/0"" or ""\inf/\inf""}
$math{lim{x->a, f(x)/g(x)} = lim{x->a, (f(x)-0)/(g(x)-0)} = lim{x->a, (f(x)-f(a))/(g(x)-g(a))} = lim{x->a, ((f(x)-f(a))/(x-a))/((g(x)-g(a))/(x-a))} = lim{x->a, f'(a)/g'(a)}}

Some does not work e.g. (e^x+e^(-x))/(e^x-e^(-x)) -> Cycle back
$math{f(x)=x+sin(x)cos(x), g(x)=f(x)e^sin(x), f/g=e^(-sin(x)), lim{x->\inf, f/g} doesn't exist, but l'Hopital gives 2cos^2(x)/((2cos(x)+x+sin(x)cos(x))cos(xe^sin(x))) -> 0}",$math{(e^x-1-sin(x))/x^2}
,,"$math{\lim{x->a, f(x)*g(x)} = ""0*\inf"" = \lim{x->a, f(x)/(1/g(x))}}",
,,"$math{\lim{x->a, f(x)-g(x)} = ""\inf-\inf"" -> Factor or find common denominator to reduce to ""0/0"" or ""\inf/\inf""}",
,,"$math{\lim{x->a, f(x)^(g(x))} = ""0^0"", ""\inf^0"", ""1^\inf"" = e^(g*ln(f(x)) -> ""0*\inf""}",
,,,
Curve geometry,Radius of curvature,"$math{r = |(1+(dy/dx)^2)^(3/2)/(d^2y/dx^2)|}
$math{r = |(r^2+(dr/d\t)^2)^(3/2)/(r^2+2(dr/d\t)^2-r(d^2r/d\t^2))|}",
,Differential arc length,"$math{ds = (1+(dy/dx)^2)^(1/2)*dx}
$math{ds = (r^2 + (dr/d\t)^2)^(1/2)*d\t}",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,Numerical approximations,,
