Name,Basic relationship,Presetted values
,,$math{sin(x)(cos(x)/(cos^2(x)-sin^2(x))=(sin(x)cos(x))/cos^2(x)/((cos^2-sin^2(x))/cos^2(x))=tan(x)/(1-tan^2(x))}
,,$math{1/(1-sin(2x))+1/(1+sin(2x))=(1+sin(2x)+1-sin(2x))/((1+sin(2x))(1-sin(2x)))=2/(1-sin^2(2x))=2/cos^2(2x)}
,,$math{1+tan^2(x)=1+sin^2(x)/cos^2(x)=(cos^2(x)+sin^2(x))/cos^2(x)=1/cos^2(x)}
,"$math{sin(x)=sin(A) => x=A+2\pi, x=\pi-A+2\pi}",$math{A=380}
,"$math{cos(x)=cos(A) => x=A+2\pi, x=-A+2\pi}",$math{A=3700}
,$math{sin(x)=cos(A) => cos(\pi/2-x)=cos(A)},
,"General solutions:
1. Power formulas
2. Multiple angle formulas
3. Product formulas
4. Sum/difference formulas
5. Relationship between formulas",
,,
Circle radius,"a, b, c: sides, A, B, C: angles (being opposite to lowercase side)",
Circumscribed Circle,$math{R = a/(2sin(A)) = b/(2sin(B)) = c/(2*sin(C))},
Inscribed Circle,$math{r = sqrt(((s - a)(s - b)(s - c))/s)},
,"$math{A + B + C = 180\degree}
$math{sin(A) + sin(B) + sin(C) = 4cos(1/2A)cos(1/2B)cos(1/2C)}
$math{cos(A) + cos(B) + cos(C) = 4sin(1/2A)sin(1/2B)sin(1/2C) + 1}
$math{sin(A)^2 + sin(B)^2 + sin(C)^2 = 2*cos(A)*cos(B)*cos(C) + 2}",
MOLLWEIDE'S FORMULAS,"$math{(b - c)/a = sin(1/2*(B - C))/cos(1/2A)}
$math{(c - a)/b = sin(1/2(C - A))/cos(1/2B)}
$math{(a - b)/c = sin(1/2(A - B))/cos(1/2*C)}",
NEWTON'S FORMULAS,"$math{(b + c)/a = cos(1/2*(B - C))/sin(1/2A)}
$math{(a + b)/c = cos(1/2(A - B))/sin(1/2C)}
$math{(c + a)/b = cos(1/2(C - A))/sin(1/2*B)}",
Half angle formulas,"$math{sin(1/2*A) = sqrt(((s - b)(s - c))/(b*c))}
$math{sin(1/2*B) = sqrt(((s - a)(s - c))/(a*c))}
$math{sin(1/2*C) = sqrt(((s - a)(s - b))/(a*b))}",
