Enantiomerism(Optical isomerism)/Spegelbildsisomeri(Optiska isomerer) (L-mjölksyra vs D mjölksyra), Kiralt kol (assymetrisk centra), GRupperna har olika riktning kring assymetrisk centrum i molekylen, har olika egenskaper -> binder till olika receptorer, blandning skapar en racemisk blandning",,,,,,,,,,,,
Alkanes/Alkaner (-),,"(Mättad, endast enkelbindning) Endast van-der-Waalsbindning -> (Fettlösliga, relativt låga kokpunkter)",,,,,,,,,,,,
3(1~3OH),,18,,290,,,,,TRA,Sweet odor,Viscous,-,_,"Hudkräm, konsistensgivare, munvatten"
6(1~6OH),,95,,296,,,,,-,Sweet odor,-,-,-,Sötningsmedel
1~2-3OH,,-59,,188,,,,,TRA,,,,,
~~1+1,,-16,,204,,,,,-,_,hygroskopisk,-,-,Parfymerier
Phenols/Fenoler (~~-(OH)),,"Arener med hydroxylgrupp ([C~C~C~C~C~C] + H2O <-> (Fenolatjon, oxideras lätt) [[(C - O-)~C~C~C~C~C]](-) + H3O+",,,,,,,,,,,,
1,,40.5,,181.7,,,,,-,Pungent odor,-,Corrosive,"., ger allergi, mutagen",1860~1900 desinfektionsmedel
1(12),,29.8,,191,,,,,-,-,Crystal form,Flammable,.,
1(1~3),,11.8,,203,,,,,-,-,Viscous,Flammable,.,
1(1~4),,35.5,,202,,,,,-,-,Crystal form,Flammable,.,
2,,123,,285,,,,,TRA,Burning taste,"Crystal form, shiny",-,,
3,,121,,363,,,,,-,-,-,-,-,
2+2*4.3+2(Bisfenol A),,157,,250,,,,,WHI~BRO,-,Crystal form,-,Endocrine disruptor,
Aldehydes/Aldehyder,,Karbonylförening med karbonylgrupp i änden av kedjan (Kan ha angenäm smak/doft),,,,,,,,,,,,
1CHO,,-,,-,,,,,-,-,-,-,"Allergy, Irritating (Mucous)","Konservering, plast, lim, spånskivor"
2CHO,,-,,-,,,,,-,-,-,-,-,
3CHO,,-,,-,,,,,-,-,-,-,-,
4CHO,,-,,-,,,,,-,-,-,-,-,
5CHO,,-,,-,,,,,-,-,-,-,-,
6CHO,,-,,-,,,,,-,-,-,-,-,
7CHO,,-,,-,,,,,-,-,-,-,-,
8CHO,,-,,-,,,,,-,-,-,-,-,
9CHO,,-,,-,,,,,-,-,-,-,-,
10CHO,,-,,-,,,,,-,-,-,-,-,
Ketones/Ketoner,,Karbonylförening med karbonylgrupp i mitten av kedjan (Doft och smakämne),,,,,,,,,,,,
3CO,Aceton,-95.19999999999999,5.72,56.5,29.1,,,,-,-,Viscous,Flammable,-,Lösningsmedel
2-4CO,,-,,-,,,,,-,-,-,-,-,
3-4CO,,-,,-,,,,,-,-,-,-,-,
2-5CO,,-,,-,,,,,-,-,-,-,-,
3-5CO,,-,,-,,,,,-,-,-,-,-,
4-5CO,,-,,-,,,,,-,-,-,-,-,
2-6CO,,-,,-,,,,,-,-,-,-,-,
3-6CO,,-,,-,,,,,-,-,-,-,-,
4-6CO,,-,,-,,,,,-,-,-,-,-,
5-6CO,,-,,-,,,,,-,-,-,-,-,
Carboxylic acids/Karboxylsyror (-COOH),,"Organiska syror med karbonylgrupp (karbonylgrupp med hydroxigrupp)
Syrorna har utpräglat starka och otrevliga lukter (stickande), fasta i rumstemperatur, korta (vattenlösliga)
R-(C=O)-OH + H2O <-> [R-(C~O)~O](-) + H3O+ (Protolysering, relativt inte lätt tillbaka på grund av stabila delokaliserade elektroner)
(\o-numrering, 18:6, \o-3 => 18 kolatomer, 6 dubbelbindningar, kolatom 3 från motsatt ände än COOH-grupp) ",,,,,,,,,,,,
1COOH,,-,,-,,,,,-,-,-,-,-,"Rödmyror, giftkörtel, hökonserv"
2COOH,,-,,-,,,,,-,-,-,-,-,"Body as buffer CH3COOH + (CH3COO-), (HCO3-)
Inläggning, salladsdressing"
3COOH,,-,,-,,,,,-,-,-,-,-,
4COOH,,-,,-,,,,,-,-,-,-,-,Härsknat smör
5COOH,,-,,-,,,,,-,-,-,-,-,
6COOH,,-,,-,,,,,-,-,-,-,-,
7COOH,,-,,-,,,,,-,-,-,-,-,
8COOH,,-,,-,,,,,-,-,-,-,-,
9COOH,,-,,-,,,,,-,-,-,-,-,
10COOH,,-,,-,,,,,-,-,-,-,-,
17COOH,,-,,-,,,,,-,-,-,-,-,
18COOH,,-,,-,,,,,-,-,-,-,-,
~~1COOH (Bensoesyra),,,,,,,,,,,,,,
2[2COOH] (Etandisyra),,,,,,,,,,,,,,Rabarber
4[2COOH] (Bärnstenssyra),,,,,,,,,,,,,,
Citronsyra,,,,,,,,,,,,,,"Citron, konservering, rengöring"
Oljesyra (18:1 \o-9),,,,,,,,,,,,,,
Linolsyra (18:2 \o-6),,,,,,,,,,,,,,
Linolensyra (18:3 \o-3),,,,,,,,,,,,,,
EPA (20:5 \o-3),,,,,,,,,,,,,,
Lactic,,-,,-,,,,,-,-,-,-,-,
Salicylic,,-,,-,,,,,-,-,-,-,-,
Esters/Estrar (-COO-),,"Karbonylförening med estergrupp (karbonylgrupp med syre)
Oftast väldoftande (mycket koncentrerad doft) -> Avdunstar lätt på grund av svaga bindningar (Van der Waalsbindning) -> Opolära och fettlöslig
Vaxer: Hydrofob (Vattenavvisande) -> Förhindrar korrosion",,,,,,,,,,,,
2+2,,-,,-,,,,,-,Peach,-,-,-,
4+1,,-,,-,,,,,-,Raspberry,-,-,-,
4+4,,-,,-,,,,,-,Pineapple,-,-,-,
5+2,,-,,-,,,,,-,Banana,-,-,-,
5+5,,-,,-,,,,,-,Apple,-,-,-,
8+2,,-,,-,,,,,-,Orange,-,-,-,
Ethers/Etrar (-O-),,Kolkedja som länkas av en etergrupp (syre) -> Endast van-der-Waalsbindning,,,,,,,,,,,,
1+1,,-141,,-24,,,,,TRA,-,-,Flammable,-,Dieselmotordrivmedel
1+2,,-113,,7.4,,,,,-,-,-,Flammable,-,Förr bedövningsmedel (-> 1900)
2+2,,-141,,35,,,,,-,-,Heavy vapors,Stable,-,"Förr bedövningsmedel, lösning"
1+3,,-101,,39,,,,,TRA,-,-,Flammable,-,Förr bedövningsmedel
2+3,,-127,,63,,,,,TRA,-,-,Flammable,Irritating,
3+3,,-122,,90,,,,,TRA,Sweet odor,-,Flammable,-,
1+4,,-116,,70,,,,,-,-,-,-,-,
2+4,,-124,,92.3,,,,,TRA,-,-,Flammable,Irritating(skin/eyes),
3+4,,-62,,120,,,,,-,-,-,-,-,
4+4,,-95,,141,,,,,-,-,-,-,-,
Ether perioxides/Eter perioxider (-2O-),,,,,,,,,,,,,,
2+2,,-,,-,,,,,-,-,-,-,-,
Amines/Aminer (-NH2),,,,,,,,,,,,,,
1NH2,,-,,-,,,,,-,-,-,-,-,
2NH2,,-,,-,,,,,-,-,-,-,-,
3NH2,,-,,-,,,,,-,-,-,-,-,
4NH2,,-,,-,,,,,-,-,-,-,-,
5NH2,,-,,-,,,,,-,-,-,-,-,
6NH2,,-,,-,,,,,-,-,-,-,-,
7NH2,,-,,-,,,,,-,-,-,-,-,
8NH2,,-,,-,,,,,-,-,-,-,-,
9NH2,,-,,-,,,,,-,-,-,-,-,
10NH2,,-,,-,,,,,-,-,-,-,-,
Thiols/Tioler (-SH),,Basiska organiska föreningar med amingrupp (-NH2),,,,,,,,,,,,
1SH,,-123,,6,,,,,TRA,-,-,Flammable,.,
2SH,,-148,,35,,,,,TRA,-,-,Flammable,.,
3SH,,-113,,67,,,,,TRA~LYE,-,-,Heavy vapors,-,
4SH,,-116,,98,,,,,-,-,Clear,Corrosive,-,
5SH,,-76,,127,,,,,TRA~YEL,-,-,-,Irritating(skin/eyes),
6SH,,-81,,151,,,,,TRA,Earth,-,-,Irritating(skin/eyes),
7SH,,-43,,177,,,,,TRA,Onion,-,-,Irritating(skin/eyes),
8SH,,-49,,177,,,,,TRA,Onion,-,-,Irritating(skin/eyes),
9SH,,-20,,220,,,,,-,-,-,-,-,
10SH,,-26,,241,,,,,TRA,-,-,-,Irritating,
Disulfides/Disulfider (-2S-),,,,,,,,,,,,,,
1+1,,-85,,110,,,,,TRA,Garlic,-,-,-,
1+2,,-,,-,,,,,-,-,-,-,-,
2+2,,-,,-,,,,,-,-,-,-,-,
1+3,,-,,-,,,,,-,-,-,-,-,
2+3,,-,,-,,,,,-,-,-,-,-,
3+3,,-,,-,,,,,-,-,-,-,-,
Nitro compounds/Nitroföreningar (-NO2),,,,,,,,,,,,,,
1NO2,,-,,-,,,,,-,-,-,-,-,
2NO2,,-,,-,,,,,-,-,-,-,-,
3NO2,,-,,-,,,,,-,-,-,-,-,
4NO2,,-,,-,,,,,-,-,-,-,-,
5NO2,,-,,-,,,,,-,-,-,-,-,
6NO2,,-,,-,,,,,-,-,-,-,-,
7NO2,,-,,-,,,,,-,-,-,-,-,
8NO2,,-,,-,,,,,-,-,-,-,-,
9NO2,,-,,-,,,,,-,-,-,-,-,
10NO2,,-,,-,,,,,-,-,-,-,-,
