Ämne,Melting,Boiling,Critical temperature,Critical pressure (atm),Color (burn color),Odour,Structure,Reactivity,Toxicity,Application,Bildningsentalpi ΔH(0)_f,Gibbs fria energi ΔG^(0)_f,"Värmekapacitet C_(P, m)",Entropi* S(0) 
,,,,,,,,,,,kJ mol^(-1),kJ mol^(-1),J K^(-1) mol^(-1),J K^(-1) mol^(-1)
MnO2 (s),,,,,,,,,,,,,,
"N, Kväve",,,,,,,,,,,,,,
N2(g),,,-147.0,34.0,,,,,,,0,0,29.12,191.61
NO(g),,,,,,,,,,Ger sur regn,90.25,86.55,29.84,210.76
N2O(g),,,,,,,,,,,82.05,104.20,38.45,219.85
NO2(g),,,,,,,,,,,33.18,51.31,37.20,240.06
N2O4(g),,,,,,,,,,,9.16,97.89,77.28,304.29
HNO3(l),,,,,,,,,,,-174.10,-80.71,109.87,155.60
HNO3(aq),,,,,,,,,,,-207.36,-111.25,-,146.4
NO3-(aq),,,,,,,,,,,-205.0,-108.74,-,146.4
NH3(g),,,,,,,,,,,-46.11,-16.45,35.06,192.45
NH3(aq),,,,,,,,,,,-80.29,-26.50,-,111.3
NH4+(aq),,,,,,,,,,,-132.51,-79.31,-,113.4
NH2OH(s),,,,,,,,,,,-114.2,-,98.87,238.97
HN3(g),,,,,,,,,,,294.1,328.1,139.3,121.21
N2H4(l),,,,,,,,,,,50.63,149.34,84.1,151.08
NH4NO3(s),,,,,,,,,,,-365.56,-183.87,-,94.6
NH4Cl(s),,,,,,,,,,,-314.43,-202.87,-,186.2
NH4ClO4(s),,,,,,,,,,,-295.31,-88.75,-,-
"Na, Natrium",,,,,,,,,,,,,,
Na(s),,,,,,,,,,,0,0,28.24,51.21
Na(g),,,,,,,,,,,107.32,76.76,20.79,153.71
Na+(aq),,,,,(\YEL),,,,,,-240.12,-261.91,-,59.0
NaOH(s),,,,,,,,,,,-425.61,-379.49,59.54,64.46
NaOH(aq),,,,,,,,,,,-470.11,-419.15,-,48.1
NaCl(s),,,,,,,,,,,-411.15,-384.14,50.50,72.13
NaBr(s),,,,,,,,,,,-361.06,-348.98,51.38,86.82
NaI(s),,,,,,,,,,,-287.78,-286.06,52.09,98.53
"O, Syre",,,,,,,,,,,,,,
O2(g),,,-118.0,50.0,,,,,,,0,0,29.36,205.14
O3(g),,,,,,,,,,,142.7,163.2,39.29,238.93
OH-(aq),,,,,,,,,,,-229.99,-157.24,-,-10.75
"P, Fosfor",,,,,,,,,,,,,,
"P(s), vit",,,,,,,,,,,0,0,23.84,41.09
P4(g),,,,,,,,,,,59.93,24.44,67.15,279.98
PH3(g),,,,,,,,,,,5.4,13.4,37.11,210.23
P4O10(s),,,,,,,,,,,-2984.0,-2697.0,-,228.86
H3PO3(aq),,,,,,,,,,,-964.8,-,-,-
H3PO4(l),,,,,,,,,,,-1266.9,-,-,-
H3PO4(aq),,,,,,,,,,,-1277.4,-1018.7,-,-
PCl3(l),,,,,,,,,,,-319.7,-272.3,-,217.18
PCl3(g),,,,,,,,,,,-287.0,-267.8,71.84,311.78
PCl5(g),,,,,,,,,,,-374.9,-305.0,112.8,364.6
PCl5(s),,,,,,,,,,,-443.5,-,-,-
"Pb, Bly",,,,,,,,,,,,,,
Pb(s),,,,,,,,,,,0,0,26.44,64.81
Pb 2+(aq),,,,,,,,,,,-1.7,-24.43,-,10.5
PbO2(s),,,,,,,,,,,-277.4,-217.33,64.64,68.6
PbSO4(s),,,,,,,,,,,-919.94,-813.14,103.21,148.57
PbBr2(s),,,,,,,,,,,-278.7,-261.92,80.12,161.5
PbBr2(aq),,,,,,,,,,,-244.8,-232.34,-,175.3
"Sb, Antimon",,,,,,,,,,,,,,
Sb(s),,,,,,,,,,,0,0,25.23,45.69
SbH3(g),,,,,,,,,,,145.11,147.75,41.05,232.78
SbCl3(g),,,,,,,,,,,-313.8,-301.2,76.69,337.80
SbCl5(g),,,,,,,,,,,-394.34,-334.29,121.13,401.94
"S, Svavel",,,,,,,,,,,,,,
"S(s), rombisk",,,,,,,,,,,0,0,22.64,31.80
"S(s), monoklinisk",,,,,,,,,,,0.33,0.1,23.6,32.6
S 2-(aq),,,,,,,,,,,33.1,85.8,-,-14.6
SO2(g),,,,,,,,,"Ger sur regn, pappersblekning",,-296.83,-300.19,39.87,248.22
SO3(g),,,,,,,,,,,-395.72,-371.06,50.67,256.76
H2SO4(l),,,,,,,,,,,-813.99,-690.00,138.9,156.90
SO4 2-(aq),,,,,,,,,,,-909.27,-744.53,-,20.1
HSO4-(aq),,,,,,,,,,,-887.34,-755.91,-,131.8
H2S(g),,,,,,,,,,,-20.63,-33.56,34.23,205.79
H2S(aq),,,,,,,,,,,-39.7,-27.83,-,121
SF6(g),,,,,,,,,,,-1209,-1105.3,97.28,291.82
"Si, Kisel",,,,,,,,,,,,,,
Si(s),,,,,,,,,,,0,0,20.00,18.83
"SiO2(s, \alpha)",,,,,,,,,,,-910.94,-856.64,44.43,41.84
"Sr, Strontium",,,,,,,,,,,,,,
Sr 2+,,,,,\RE1,,,,,,,,,
"Sn, Tenn",,,,,,,,,,,,,,
"Sn(s), vit",,,,,,,,,,,0,0,26.99,51.55
"Sn(s), grå",,,,,,,,,,,-2.09,0.13,25.77,44.14
SnO(s),,,,,,,,,,,-285.8,-256.9,44.31,56.5
SnO2(s),,,,,,,,,,,-580.7,-519.6,52.59,52.3
"Zn, Zink",,,,,,,,,,,,,,
Zn(s),,,,,,,,,,,0,0,25.40,41.63
Zn 2+(aq),,,,,,,,,,,-153.89,-147.06,-,-112.1
ZnO(s),,,,,,,,,,,-348.28,-318.30,40.25,43.64
